pathway_id,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
pathways_1,entrance_9,D05,34,
pathways_2,D05,entrance_9,34,
pathways_3,entrance_103,414,38,
pathways_4,414,entrance_103,38,
pathways_5,entrance_103,D11,39,
pathways_6,D11,entrance_103,39,
pathways_7,entrance_104,414,34,
pathways_8,414,entrance_104,34,
pathways_9,entrance_104,D11,33,
pathways_10,D11,entrance_104,33,
pathways_11,entrance_105,414,35,
pathways_12,414,entrance_105,35,
pathways_13,entrance_105,D11,37,
pathways_14,D11,entrance_105,37,
pathways_15,entrance_106,414,32,
pathways_16,414,entrance_106,32,
pathways_17,entrance_106,D11,31,
pathways_18,D11,entrance_106,31,
pathways_19,entrance_107,414,32,
pathways_20,414,entrance_107,32,
pathways_21,entrance_107,D11,35,
pathways_22,D11,entrance_107,35,
pathways_23,entrance_108,414,32,
pathways_24,414,entrance_108,32,
pathways_25,entrance_108,D11,32,
pathways_26,D11,entrance_108,32,
pathways_27,entrance_109,414,34,
pathways_28,414,entrance_109,34,
pathways_29,entrance_109,D11,34,
pathways_30,D11,entrance_109,34,
pathways_31,entrance_126,A11,35,
pathways_32,A11,entrance_126,35,
pathways_33,entrance_127,A11,37,
pathways_34,A11,entrance_127,37,
pathways_35,entrance_128,A11,39,
pathways_36,A11,entrance_128,39,
pathways_37,entrance_129,A11,40,
pathways_38,A11,entrance_129,40,
pathways_39,entrance_130,A11,44,
pathways_40,A11,entrance_130,44,
pathways_41,entrance_131,A11,44,
pathways_42,A11,entrance_131,44,
pathways_43,entrance_142,610,90,
pathways_44,610,entrance_142,90,
pathways_45,entrance_142,611,33,
pathways_46,611,entrance_142,33,
pathways_47,entrance_143,610,33,
pathways_48,610,entrance_143,33,
pathways_49,entrance_144,610,33,
pathways_50,610,entrance_144,33,
pathways_51,entrance_145,610,33,
pathways_52,610,entrance_145,33,
pathways_53,entrance_170,107,33,
pathways_54,107,entrance_170,33,
pathways_55,entrance_198,413,33,
pathways_56,413,entrance_198,33,
pathways_57,entrance_199,413,36,
pathways_58,413,entrance_199,36,
pathways_59,entrance_201,413,32,
pathways_60,413,entrance_201,32,
pathways_61,entrance_203,413,36,
pathways_62,413,entrance_203,36,
pathways_63,entrance_205,A02,35,
pathways_64,A02,entrance_205,35,
pathways_65,entrance_207,A02,37,
pathways_66,A02,entrance_207,37,
pathways_67,entrance_225,D12,48,
pathways_68,D12,entrance_225,48,
pathways_69,entrance_234,110,78,
pathways_70,110,entrance_234,78,
pathways_71,entrance_251,218,32,
pathways_72,218,entrance_251,32,
pathways_73,entrance_252,218,33,
pathways_74,218,entrance_252,33,
pathways_75,entrance_253,218,34,
pathways_76,218,entrance_253,34,
pathways_77,entrance_254,217,33,
pathways_78,217,entrance_254,33,
pathways_79,entrance_256,217,32,
pathways_80,217,entrance_256,32,
pathways_81,entrance_263,619,42,
pathways_82,619,entrance_263,42,
pathways_83,entrance_264,619,41,
pathways_84,619,entrance_264,41,
pathways_85,entrance_268,222,35,
pathways_86,222,entrance_268,35,
pathways_87,entrance_268,415,33,
pathways_88,415,entrance_268,33,
pathways_89,entrance_269,414,54,
pathways_90,414,entrance_269,54,
pathways_91,entrance_269,D11,51,
pathways_92,D11,entrance_269,51,
pathways_93,entrance_270,414,43,
pathways_94,414,entrance_270,43,
pathways_95,entrance_270,D11,43,
pathways_96,D11,entrance_270,43,
pathways_97,entrance_271,414,41,
pathways_98,414,entrance_271,41,
pathways_99,entrance_271,D11,41,
pathways_100,D11,entrance_271,41,
pathways_101,entrance_272,414,40,
pathways_102,414,entrance_272,40,
pathways_103,entrance_272,D11,39,
pathways_104,D11,entrance_272,39,
pathways_105,entrance_273,414,42,
pathways_106,414,entrance_273,42,
pathways_107,entrance_273,D11,42,
pathways_108,D11,entrance_273,42,
pathways_109,entrance_274,414,53,
pathways_110,414,entrance_274,53,
pathways_111,entrance_274,D11,50,
pathways_112,D11,entrance_274,50,
pathways_113,entrance_275,414,39,
pathways_114,414,entrance_275,39,
pathways_115,entrance_275,D11,39,
pathways_116,D11,entrance_275,39,
pathways_117,entrance_276,414,54,
pathways_118,414,entrance_276,54,
pathways_119,entrance_276,D11,51,
pathways_120,D11,entrance_276,51,
pathways_121,entrance_277,414,40,
pathways_122,414,entrance_277,40,
pathways_123,entrance_277,D11,41,
pathways_124,D11,entrance_277,41,
pathways_125,entrance_280,112,36,
pathways_126,112,entrance_280,36,
pathways_127,entrance_280,A09,53,
pathways_128,A09,entrance_280,53,
pathways_129,entrance_284,112,35,
pathways_130,112,entrance_284,35,
pathways_131,entrance_284,A09,53,
pathways_132,A09,entrance_284,53,
pathways_133,entrance_289,112,57,
pathways_134,112,entrance_289,57,
pathways_135,entrance_289,A09,53,
pathways_136,A09,entrance_289,53,
pathways_137,entrance_290,112,58,
pathways_138,112,entrance_290,58,
pathways_139,entrance_290,A09,54,
pathways_140,A09,entrance_290,54,
pathways_141,entrance_293,112,41,
pathways_142,112,entrance_293,41,
pathways_143,entrance_293,A09,33,
pathways_144,A09,entrance_293,33,
pathways_145,entrance_294,112,57,
pathways_146,112,entrance_294,57,
pathways_147,entrance_294,A09,51,
pathways_148,A09,entrance_294,51,
pathways_149,entrance_298,111,93,
pathways_150,111,entrance_298,93,
pathways_151,entrance_348,226,34,
pathways_152,226,entrance_348,34,
pathways_153,entrance_350,226,34,
pathways_154,226,entrance_350,34,
pathways_155,entrance_390,629,38,
pathways_156,629,entrance_390,38,
pathways_157,entrance_390,R11,45,
pathways_158,R11,entrance_390,45,
pathways_159,entrance_391,629,37,
pathways_160,629,entrance_391,37,
pathways_161,entrance_391,R11,46,
pathways_162,R11,entrance_391,46,
pathways_163,entrance_392,629,35,
pathways_164,629,entrance_392,35,
pathways_165,entrance_392,R11,44,
pathways_166,R11,entrance_392,44,
pathways_167,entrance_393,629,34,
pathways_168,629,entrance_393,34,
pathways_169,entrance_393,R11,35,
pathways_170,R11,entrance_393,35,
pathways_171,entrance_394,629,38,
pathways_172,629,entrance_394,38,
pathways_173,entrance_394,R11,35,
pathways_174,R11,entrance_394,35,
pathways_175,entrance_395,629,40,
pathways_176,629,entrance_395,40,
pathways_177,entrance_395,R11,40,
pathways_178,R11,entrance_395,40,
pathways_179,entrance_396,R13,42,
pathways_180,R13,entrance_396,42,
pathways_181,entrance_399,B08,36,
pathways_182,B08,entrance_399,36,
pathways_183,entrance_400,R13,35,
pathways_184,R13,entrance_400,35,
pathways_185,entrance_401,R13,36,
pathways_186,R13,entrance_401,36,
pathways_187,entrance_403,B08,36,
pathways_188,B08,entrance_403,36,
pathways_189,entrance_405,629,51,
pathways_190,629,entrance_405,51,
pathways_191,entrance_405,R11,45,
pathways_192,R11,entrance_405,45,
pathways_193,entrance_406,629,52,
pathways_194,629,entrance_406,52,
pathways_195,entrance_406,R11,44,
pathways_196,R11,entrance_406,44,
pathways_197,entrance_407,629,55,
pathways_198,629,entrance_407,55,
pathways_199,entrance_407,R11,49,
pathways_200,R11,entrance_407,49,
pathways_201,entrance_408,629,56,
pathways_202,629,entrance_408,56,
pathways_203,entrance_408,R11,48,
pathways_204,R11,entrance_408,48,
pathways_205,entrance_449,D15,47,
pathways_206,D15,entrance_449,47,
pathways_207,entrance_450,D15,46,
pathways_208,D15,entrance_450,46,
pathways_209,entrance_451,D15,43,
pathways_210,D15,entrance_451,43,
pathways_211,entrance_452,D15,45,
pathways_212,D15,entrance_452,45,
pathways_213,entrance_453,D15,33,
pathways_214,D15,entrance_453,33,
pathways_215,entrance_454,D14,31,
pathways_216,D14,entrance_454,31,
pathways_217,entrance_455,D14,31,
pathways_218,D14,entrance_455,31,
pathways_219,entrance_456,D14,45,
pathways_220,D14,entrance_456,45,
pathways_221,entrance_457,D14,46,
pathways_222,D14,entrance_457,46,
pathways_223,entrance_458,125,61,
pathways_224,125,entrance_458,61,
pathways_225,entrance_458,A24,62,
pathways_226,A24,entrance_458,62,
pathways_227,entrance_459,125,47,
pathways_228,125,entrance_459,47,
