from_stop_id,to_stop_id,transfer_type
112,A09,0,
125,A24,0,
127,725,0,
127,902,0,
127,R16,0,
132,D19,2,200
132,L02,2,200
222,415,0,
228,A36,0,
228,E01,0,
229,418,0,
229,A38,0,
229,M22,0,
232,423,0,
232,R28,0,
235,D24,0,
235,R31,0,
237,238,0,
238,237,0,
239,S01,0,
254,L26,3,
414,D11,0,
415,222,0,
418,229,0,
418,A38,0,
418,M22,0,
423,232,0,
423,R28,0,
629,B08,2,300
629,R11,0,
630,F11,0,
631,901,0,
635,L03,0,
635,R20,0,
637,D21,0,
637,D21,3,
639,M20,0,
639,Q01,0,
639,R23,0,
640,M21,0,
710,G14,0,
718,R09,0,
719,F09,0,
719,G22,0,
724,D16,0,
725,127,0,
725,902,0,
725,R16,0,
901,631,0,
902,127,0,
902,725,0,
902,R16,0,
A09,112,0,
A24,125,0,
A31,L01,0,
A32,D20,0,
A36,228,0,
A36,E01,0,
A38,229,0,
A38,418,0,
A38,M22,0,
A45,S01,0,
A51,J27,0,
A51,L22,0,
B08,629,2,300
B08,R11,0,
B08,R11,2,300
B16,N04,0,
D11,414,0,
D16,724,0,
D17,R17,0,
D19,132,2,200
D19,L02,0,
D20,A32,0,
D21,637,0,
D21,637,3,
D24,235,0,
D24,R31,0,
E01,228,0,
E01,A36,0,
F09,719,0,
F09,G22,0,
F11,630,0,
F15,M18,0,
F23,R33,2,100
from_stop_id,to_stop_id,transfer_type,min_transfer_time
G14,710,0,
G22,719,0,
G22,F09,0,
G29,L10,0,
J27,A51,0,
J27,L22,0,
L01,A31,0,
L02,132,2,200
L02,D19,0,
L03,635,0,
L03,R20,0,
L10,G29,0,
L22,A51,0,
L22,J27,0,
L26,254,3,
M18,F15,0,
M20,639,0,
M20,Q01,0,
M20,R23,0,
M21,640,0,
M22,229,0,
M22,418,0,
M22,A38,0,
N04,B16,0,
Q01,639,0,
Q01,M20,0,
Q01,R23,0,
R09,718,0,
R11,629,0,
R11,B08,0,
R11,B08,2,300
R16,127,0,
R16,725,0,
R16,902,0,
R17,D17,0,
R20,635,0,
R20,L03,0,
R23,639,0,
R23,M20,0,
R23,Q01,0,
R28,232,0,
R28,423,0,
R31,235,0,
R31,D24,0,
R33,F23,2,100
S01,239,0,
S01,A45,0,
